Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Alzheimer's Disease,C0002395,BIN1,274,O00499,bridging integrator 1,,163,0.55,0.692,0.77822,0.5,,0.98,51,7,2011,2020
Alzheimer's Disease,C0002395,APOC1,341,P02654,apolipoprotein C1,,95,0.581,0.577,0.21685,0.5,,1,20,8,1999,2019
Alzheimer's Disease,C0002395,MPO,4353,P05164,myeloperoxidase,Enzyme,653,0.377,0.923,0.000000000000007105,0.5,,1,13,2,1999,2019
Alzheimer's Disease,C0002395,NOS3,4846,P29474,nitric oxide synthase 3,,706,0.378,0.885,0.00000067246,0.5,,0.9,20,1,1999,2018
Alzheimer's Disease,C0002395,PSEN2,5664,P49810,presenilin 2,Enzyme,146,0.55,0.654,0.00053736,0.5,,0.977,177,12,1995,2020
Alzheimer's Disease,C0002395,SORL1,6653,Q92673,sortilin related receptor 1,Transporter,103,0.582,0.692,0.000000000076609,0.5,,0.973,111,18,2004,2020
Alzheimer's Disease,C0002395,PICALM,8301,Q13492,phosphatidylinositol binding clathrin assembly protein,Transporter,79,0.592,0.538,0.99896,0.5,,0.947,75,19,2009,2019
Alzheimer's Disease,C0002395,VSNL1,7447,P62760,visinin like 1,,52,0.631,0.423,0.45742,0.49,,1,11,3,2001,2019
Alzheimer's Disease,C0002395,INPP5D,3635,Q92835,inositol polyphosphate-5-phosphatase D,,109,0.558,0.731,0.97198,0.45,,1,9,3,2013,2020
Alzheimer's Disease,C0002395,NECTIN2,5819,Q92692,nectin cell adhesion molecule 2,,106,0.575,0.769,0.96926,0.44,,1,25,53,2008,2019
Alzheimer's Disease,C0002395,MS4A4A,51338,Q96JQ5,membrane spanning 4-domains A4A,Receptor,21,0.722,0.308,0.0000080964,0.43,,1,8,33,2011,2019
Alzheimer's Disease,C0002395,PCDH11X,27328,Q9BZA7,protocadherin 11 X-linked,,18,0.729,0.308,0.015836,0.42,,1,3,2,2009,2011
Alzheimer's Disease,C0002395,CASS4,57091,Q9NQ75,Cas scaffold protein family member 4,,19,0.722,0.231,0.36682,0.42,,1,5,2,2013,2019
Alzheimer's Disease,C0002395,CYP46A1,10858,Q9Y6A2,cytochrome P450 family 46 subfamily A member 1,Enzyme,39,0.659,0.5,0.98552,0.4,,0.953,43,5,2000,2019
Alzheimer's Disease,C0002395,CHRNA7,1139,P36544;Q494W8,cholinergic receptor nicotinic alpha 7 subunit,Ion channel,172,0.532,0.654,0.00041549,0.4,,1,12,1,2001,2017
Alzheimer's Disease,C0002395,CST3,1471,P01034,cystatin C,,370,0.436,0.808,0.0039011,0.4,,0.935,46,1,1988,2019
Alzheimer's Disease,C0002395,CYP2D6,1565,P10635,cytochrome P450 family 2 subfamily D member 6,,432,0.437,0.885,0.00000000000000000000000010793,0.4,,0.909,33,2,1995,2019
Alzheimer's Disease,C0002395,DHCR24,1718,Q15392,24-dehydrocholesterol reductase,Enzyme,216,0.498,0.769,0.031029,0.4,,0.958,24,4,2000,2019
Alzheimer's Disease,C0002395,DPYSL2,1808,Q16555,dihydropyrimidinase like 2,Enzyme,93,0.585,0.692,0.99375,0.4,,0.947,19,0,1999,2020
Alzheimer's Disease,C0002395,ESR1,2099,P03372,estrogen receptor 1,Nuclear receptor,1101,0.324,0.962,0.9992,0.4,,0.944,54,5,1999,2019
Alzheimer's Disease,C0002395,NCSTN,23385,Q92542,nicastrin,,40,0.666,0.462,0.99942,0.4,,1,21,1,2001,2020
Alzheimer's Disease,C0002395,HMOX1,3162,P09601,heme oxygenase 1,,666,0.381,0.923,0.0096817,0.4,,0.92,25,1,1995,2020
Alzheimer's Disease,C0002395,IGF1,3479,P05019,insulin like growth factor 1,,1206,0.318,0.885,0.2716,0.4,,1,41,2,2000,2020
Alzheimer's Disease,C0002395,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.4,,0.938,112,1,1993,2019
Alzheimer's Disease,C0002395,MIR146A,406938,,microRNA 146a,,505,0.398,0.885,,0.4,,1,19,1,2008,2019
Alzheimer's Disease,C0002395,MAOB,4129,P27338,monoamine oxidase B,,152,0.533,0.808,0.99903,0.4,,1,38,1,1994,2020
Alzheimer's Disease,C0002395,ACHE,43,P22303,acetylcholinesterase (Cartwright blood group),Enzyme,418,0.445,0.885,0.99827,0.4,,0.985,388,1,1991,2020
Alzheimer's Disease,C0002395,MTHFR,4524,P42898,methylenetetrahydrofolate reductase,,985,0.337,0.885,0.00000000032068,0.4,,0.868,38,4,1999,2018
Alzheimer's Disease,C0002395,PPARG,5468,P37231,peroxisome proliferator activated receptor gamma,Nuclear receptor,877,0.358,0.885,0.029194,0.4,,0.907,54,6,2000,2019
Alzheimer's Disease,C0002395,PRNP,5621,F7VJQ1;P04156,prion protein,,426,0.445,0.923,0.00063182,0.4,,0.902,102,3,1986,2020
Alzheimer's Disease,C0002395,RELN,5649,P78509,reelin,,178,0.515,0.731,1,0.4,,1,29,3,2002,2019
Alzheimer's Disease,C0002395,BCHE,590,P06276,butyrylcholinesterase,,392,0.447,0.923,0.00000000000010643,0.4,,0.962,343,3,1995,2020
Alzheimer's Disease,C0002395,TFAM,7019,Q00059,"transcription factor A, mitochondrial",,147,0.529,0.731,0.17259,0.4,,0.9,10,2,2004,2019
Alzheimer's Disease,C0002395,TNF,7124,P01375,tumor necrosis factor,Signaling,2724,0.231,0.962,0.8033,0.4,,0.963,134,2,1998,2020
Alzheimer's Disease,C0002395,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.4,,0.919,37,3,2005,2020
Alzheimer's Disease,C0002395,CD33,945,P20138,CD33 molecule,Receptor,142,0.524,0.769,0.00000056888,0.4,,0.972,36,3,2011,2019
Alzheimer's Disease,C0002395,CRH,1392,P06850,corticotropin releasing hormone,Signaling,402,0.439,0.808,0.71614,0.39,,0.9,10,0,1995,2019
Alzheimer's Disease,C0002395,SOD2,6648,P04179,superoxide dismutase 2,Enzyme,668,0.379,0.923,0.15499,0.38,,0.889,9,2,2001,2018
Alzheimer's Disease,C0002395,PLCG2,5336,P16885,phospholipase C gamma 2,Enzyme,82,0.588,0.808,0.99562,0.36,,1,6,1,2017,2019
Alzheimer's Disease,C0002395,UNC5C,8633,O95185,unc-5 netrin receptor C,Receptor,47,0.65,0.462,0.0008813,0.36,,1,7,4,2014,2016
Alzheimer's Disease,C0002395,ABI3,51225,Q9P2A4,ABI family member 3,Enzyme modulator,27,0.716,0.231,0.000050089,0.35,,1,5,2,2017,2019
Alzheimer's Disease,C0002395,WWOX,51741,Q9NZC7,WW domain containing oxidoreductase,Enzyme,356,0.453,0.808,0.0000000000000012376,0.35,,1,6,0,2004,2019
Alzheimer's Disease,C0002395,TF,7018,P02787,transferrin,Enzyme,168,0.527,0.846,0.000000041001,0.35,,1,6,2,2002,2012
Alzheimer's Disease,C0002395,CHRNB2,1141,P17787,cholinergic receptor nicotinic beta 2 subunit,Ion channel,96,0.617,0.308,0.00072964,0.34,,1,4,0,1999,2007
Alzheimer's Disease,C0002395,SLC30A6,55676,Q6NXT4,solute carrier family 30 member 6,Transporter,19,0.711,0.346,0.000000006906,0.34,,1,4,0,2006,2014
Alzheimer's Disease,C0002395,PGRMC1,10857,O00264,progesterone receptor membrane component 1,Signaling,79,0.588,0.654,0.6711,0.33,,1,3,0,2014,2019
Alzheimer's Disease,C0002395,EIF2S1,1965,P05198,eukaryotic translation initiation factor 2 subunit alpha,Nucleic acid binding,84,0.587,0.692,0.97031,0.33,,1,4,0,2002,2009
Alzheimer's Disease,C0002395,F2,2147,P00734,"coagulation factor II, thrombin",Enzyme,490,0.415,0.885,0.0011118,0.33,,1,4,1,1993,2016
Alzheimer's Disease,C0002395,ARC,23237,Q7LC44,activity regulated cytoskeleton associated protein,,101,0.573,0.769,0.59433,0.33,,1,4,1,2000,2018
Alzheimer's Disease,C0002395,CALM1,801,P0DP23;P0DP24;P0DP25,calmodulin 1,Calcium-binding protein,253,0.472,0.808,0.94473,0.33,,1,4,0,2001,2019
Alzheimer's Disease,C0002395,ENO1,2023,P06733,enolase 1,Enzyme,231,0.481,0.885,0.00001914,0.32,,1,3,0,2003,2009
Alzheimer's Disease,C0002395,HLA-DRB5,3127,Q30154,"major histocompatibility complex, class II, DR beta 5",Immune response,62,0.608,0.731,0.00000036359,0.32,,1,2,0,2015,2017
Alzheimer's Disease,C0002395,IGF2R,3482,P11717,insulin like growth factor 2 receptor,Receptor,166,0.518,0.731,1,0.32,,1,3,0,2004,2015
Alzheimer's Disease,C0002395,TPI1,7167,P60174,triosephosphate isomerase 1,Enzyme,184,0.517,0.846,0.030193,0.32,,1,3,0,2009,2019
Alzheimer's Disease,C0002395,SNAR-I,100170222,,small NF90 (ILF3) associated RNA I,,7,0.805,0.077,,0.31,,1,1,0,2018,2018
Alzheimer's Disease,C0002395,IQCK,124152,Q8N0W5,IQ motif containing K,,10,0.792,0.154,0.0000020032,0.31,,1,2,1,2014,2019
Alzheimer's Disease,C0002395,AMFR,267,Q9UKV5,autocrine motility factor receptor,,71,0.599,0.692,0.000058368,0.31,,1,2,0,2012,2019
Alzheimer's Disease,C0002395,MIR100,406892,,microRNA 100,,146,0.521,0.846,,0.31,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,MIR296,407022,,microRNA 296,,95,0.564,0.654,,0.31,,1,2,0,2015,2015
Alzheimer's Disease,C0002395,MIR375,494324,,microRNA 375,,226,0.476,0.769,,0.31,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,SLC2A4,6517,P14672,solute carrier family 2 member 4,Transporter,158,0.528,0.769,0.000047123,0.31,,1,2,0,2014,2020
Alzheimer's Disease,C0002395,SLC30A4,7782,O14863,solute carrier family 30 member 4,Transporter,23,0.705,0.385,0.11544,0.31,,1,1,0,2006,2006
Alzheimer's Disease,C0002395,MIR708,100126333,,microRNA 708,,86,0.57,0.692,,0.3,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,MIR3622B,100500871,,microRNA 3622b,,7,0.805,0.077,,0.3,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,MIR4467,100616367,,microRNA 4467,,8,0.805,0.077,,0.3,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,CDK5,1020,Q00535,cyclin dependent kinase 5,Kinase,204,0.495,0.846,0.13892,0.3,,1,77,1,2000,2020
Alzheimer's Disease,C0002395,PPARGC1A,10891,Q9UBK2,PPARG coactivator 1 alpha,Transcription factor,350,0.453,0.885,0.9973,0.3,,1,11,0,2008,2019
Alzheimer's Disease,C0002395,CHAT,1103,P28329,choline O-acetyltransferase,Enzyme,230,0.52,0.808,0.000000000056328,0.3,,0.981,54,11,1987,2019
Alzheimer's Disease,C0002395,TPP1,1200,O14773,tripeptidyl peptidase 1,Enzyme,151,0.551,0.808,0.00000062564,0.3,,1,1,0,1999,1999
Alzheimer's Disease,C0002395,MAPK14,1432,Q16539,mitogen-activated protein kinase 14,Kinase,626,0.379,0.923,0.37466,0.3,,1,26,0,2000,2020
Alzheimer's Disease,C0002395,CTNNB1,1499,P35222,catenin beta 1,,1368,0.303,0.885,0.99999,0.3,,0.972,36,0,1998,2019
Alzheimer's Disease,C0002395,AGER,177,Q15109,advanced glycosylation end-product specific receptor,Receptor,450,0.42,0.885,0.00000000000000063528,0.3,,0.978,46,1,1999,2019
Alzheimer's Disease,C0002395,GAPDH,2597,P04406,glyceraldehyde-3-phosphate dehydrogenase,Enzyme,305,0.447,0.808,0.11388,0.3,,0.895,19,1,1994,2018
Alzheimer's Disease,C0002395,GAPDHS,26330,O14556,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",Enzyme,13,0.78,0.154,0.000033372,0.3,,1,1,0,2007,2007
Alzheimer's Disease,C0002395,IRS1,3667,P35568,insulin receptor substrate 1,,233,0.488,0.769,0.023645,0.3,,1,13,0,2009,2019
Alzheimer's Disease,C0002395,LRP1,4035,Q07954,LDL receptor related protein 1,,252,0.482,0.769,1,0.3,,0.935,46,2,1996,2019
Alzheimer's Disease,C0002395,MAP2,4133,P11137,microtubule associated protein 2,,126,0.537,0.692,1,0.3,,1,15,0,1991,2019
Alzheimer's Disease,C0002395,MME,4311,P08473,membrane metalloendopeptidase,Enzyme,470,0.407,0.808,0.000000000000000001465,0.3,,0.955,89,5,2001,2020
Alzheimer's Disease,C0002395,NFE2L2,4780,Q16236,"nuclear factor, erythroid 2 like 2",Enzyme,823,0.357,0.885,0.0035719,0.3,,0.981,52,0,2008,2020
Alzheimer's Disease,C0002395,NGF,4803,P01138,nerve growth factor,Signaling,616,0.391,0.885,0.82026,0.3,,0.969,97,1,1989,2020
Alzheimer's Disease,C0002395,NGFR,4804,P08138,nerve growth factor receptor,Receptor,256,0.477,0.846,0.097889,0.3,,0.957,23,1,1989,2019
Alzheimer's Disease,C0002395,NOS2,4843,P35228,nitric oxide synthase 2,,783,0.364,0.923,0.0000000000000040277,0.3,,0.923,13,0,2000,2019
Alzheimer's Disease,C0002395,PIN1,5300,Q13526,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",,212,0.488,0.769,0.74031,0.3,,0.979,47,2,2001,2019
Alzheimer's Disease,C0002395,PYY,5697,P10082,peptide YY,Signaling,88,0.588,0.615,0.011784,0.3,,1,1,0,2001,2001
Alzheimer's Disease,C0002395,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.3,,0.96,50,2,1997,2019
Alzheimer's Disease,C0002395,MIR505,574508,,microRNA 505,,65,0.603,0.577,,0.3,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,NGB,58157,Q9NPG2,neuroglobin,Transporter,56,0.631,0.462,0.0045474,0.3,,1,13,0,2007,2019
Alzheimer's Disease,C0002395,S100B,6285,P04271,S100 calcium binding protein B,Calcium-binding protein,599,0.383,0.923,0.04387,0.3,,1,27,1,1996,2019
Alzheimer's Disease,C0002395,SOD1,6647,P00441,superoxide dismutase 1,Enzyme,689,0.379,0.962,0.1773,0.3,,0.982,57,5,1989,2020
Alzheimer's Disease,C0002395,SYP,6855,P08247,synaptophysin,Transporter,243,0.481,0.808,0.91549,0.3,,0.97,33,0,1996,2019
Alzheimer's Disease,C0002395,MIR766,768218,,microRNA 766,,46,0.633,0.577,,0.3,,1,1,0,2015,2015
Alzheimer's Disease,C0002395,ADAMTS1,9510,Q9UHI8,ADAM metallopeptidase with thrombospondin type 1 motif 1,Enzyme,119,0.555,0.654,0.71601,0.3,,1,1,0,2019,2019
Alzheimer's Disease,C0002395,NTRK2,4915,Q16620,neurotrophic receptor tyrosine kinase 2,Kinase,284,0.479,0.808,1,0.29,,0.9,10,1,1997,2019
Alzheimer's Disease,C0002395,CAV1,857,Q03135,caveolin 1,Enzyme modulator,633,0.388,0.885,0.008274,0.29,,1,9,0,2004,2020
Alzheimer's Disease,C0002395,PTGS1,5742,P23219,prostaglandin-endoperoxide synthase 1,Enzyme,318,0.46,0.885,0.00000062425,0.28,,1,9,0,1997,2017
Alzheimer's Disease,C0002395,DNM1,1759,Q05193,dynamin 1,Enzyme modulator,114,0.595,0.692,0.99917,0.26,,1,7,0,2003,2020
Alzheimer's Disease,C0002395,APLP2,334,Q06481,amyloid beta precursor like protein 2,Enzyme modulator,44,0.659,0.462,0.37966,0.26,,1,7,0,1994,2012
Alzheimer's Disease,C0002395,ADAM17,6868,P78536,ADAM metallopeptidase domain 17,,316,0.453,0.808,0.99528,0.26,,1,7,1,2000,2018
Alzheimer's Disease,C0002395,MFN2,9927,O95140,mitofusin 2,Enzyme,334,0.471,0.846,0.99415,0.26,,1,7,0,2009,2019
Alzheimer's Disease,C0002395,HSF1,3297,Q00613,heat shock transcription factor 1,Transcription factor,185,0.507,0.769,0.74762,0.25,,1,6,0,2013,2018
Alzheimer's Disease,C0002395,CCR5,1234,P51681,C-C motif chemokine receptor 5 (gene/pseudogene),G-protein coupled receptor,508,0.398,0.885,0.00000000043094,0.24,,0.8,5,0,2004,2019
Alzheimer's Disease,C0002395,GSR,2936,P00390,glutathione-disulfide reductase,Enzyme,206,0.494,0.846,0.0000012922,0.24,,1,5,0,1998,2018
Alzheimer's Disease,C0002395,HSPD1,3329,P10809,heat shock protein family D (Hsp60) member 1,,398,0.432,0.808,0.99257,0.24,,1,5,0,2002,2018
Alzheimer's Disease,C0002395,IL33,90865,O95760,interleukin 33,,487,0.409,0.885,0.00000000082925,0.24,,1,4,2,2009,2018
Alzheimer's Disease,C0002395,CIB1,10519,Q99828,calcium and integrin binding 1,,275,0.458,0.769,0.00032612,0.23,,1,4,0,2005,2017
Alzheimer's Disease,C0002395,HSPB1,3315,P04792,heat shock protein family B (small) member 1,,395,0.436,0.808,0.00000027797,0.23,,1,4,0,2011,2019
Alzheimer's Disease,C0002395,CASP8,841,Q14790,caspase 8,Enzyme,480,0.404,0.923,0.0000037236,0.23,,1,4,0,2006,2019
Alzheimer's Disease,C0002395,IKBKB,3551,O14920,inhibitor of nuclear factor kappa B kinase subunit beta,Kinase,191,0.506,0.846,0.99192,0.22,,1,3,0,2013,2017
Alzheimer's Disease,C0002395,SERPINF1,5176,P36955,serpin family F member 1,Enzyme modulator,294,0.46,0.846,0.000000078044,0.22,,1,3,0,2006,2018
Alzheimer's Disease,C0002395,MT2A,4502,P02795,metallothionein 2A,,117,0.553,0.808,0.000012279,0.21,,1,2,0,2006,2019
Alzheimer's Disease,C0002395,ATP7A,538,Q04656,ATPase copper transporting alpha,Transporter,348,0.494,0.769,0.99983,0.21,,1,2,0,2009,2015
Alzheimer's Disease,C0002395,BCL2L2,599,Q92843,BCL2 like 2,Signaling,66,0.599,0.615,0.46908,0.21,,1,2,0,2004,2010
Alzheimer's Disease,C0002395,INS-IGF2,723961,F8WCM5,INS-IGF2 readthrough,,51,0.633,0.5,0.055811,0.21,,1,2,0,2002,2007
Alzheimer's Disease,C0002395,CASP9,842,P55211,caspase 9,Enzyme,293,0.458,0.808,0.0000073826,0.21,,1,2,0,2000,2018
Alzheimer's Disease,C0002395,ADAM9,8754,Q13443,ADAM metallopeptidase domain 9,Enzyme,109,0.56,0.654,0.029431,0.21,,1,2,0,2011,2014
Alzheimer's Disease,C0002395,CASP12,100506742,Q6UXS9,caspase 12 (gene/pseudogene),,44,0.638,0.808,0.00012749,0.2,,1,1,0,2018,2018
Alzheimer's Disease,C0002395,FERMT2,10979,Q96AC1,fermitin family member 2,,80,0.588,0.577,0.99999,0.2,,1,13,2,2013,2019
Alzheimer's Disease,C0002395,ABCA1,19,O95477,ATP binding cassette subfamily A member 1,Transporter,291,0.467,0.846,0.00000000000014525,0.2,,0.904,52,13,2003,2020
Alzheimer's Disease,C0002395,PTK2B,2185,Q14289,protein tyrosine kinase 2 beta,Kinase,319,0.448,0.808,0.93536,0.2,,1,20,2,2013,2019
Alzheimer's Disease,C0002395,PLCB1,23236,Q9NQ66,phospholipase C beta 1,Enzyme,107,0.595,0.654,0.98337,0.2,,,0,0,,
Alzheimer's Disease,C0002395,GRN,2896,P28799,granulin precursor,,412,0.435,0.846,0.069666,0.2,,0.97,66,8,2006,2019
Alzheimer's Disease,C0002395,SQSTM1,8878,Q13501,sequestosome 1,,470,0.428,0.885,0.00086035,0.2,,0.857,14,1,2005,2019
Alzheimer's Disease,C0002395,GAB2,9846,Q9UQC2,GRB2 associated binding protein 2,Receptor,110,0.563,0.692,0.98325,0.2,,0.826,23,10,2007,2018
Alzheimer's Disease,C0002395,HLA-DRB1,3123,P01911,"major histocompatibility complex, class II, DR beta 1",Immune response,1018,0.333,0.923,0.0010997,0.19,,1,10,2,1999,2019
Alzheimer's Disease,C0002395,NFIC,4782,P08651,nuclear factor I C,Nucleic acid binding,63,0.626,0.654,0.090534,0.18,,1,9,1,2005,2017
Alzheimer's Disease,C0002395,CSF1R,1436,P07333,colony stimulating factor 1 receptor,Kinase,356,0.448,0.808,0.13278,0.17,,1,7,3,2004,2019
Alzheimer's Disease,C0002395,HSPG2,3339,P98160,heparan sulfate proteoglycan 2,Enzyme modulator,405,0.438,0.885,0.00000000000000000010376,0.17,,0.875,8,1,1995,2017
Alzheimer's Disease,C0002395,APOB,338,P04114,apolipoprotein B,,339,0.453,0.808,0.00000000000000019234,0.17,,0.875,8,1,1998,2019
Alzheimer's Disease,C0002395,MARK4,57787,Q96L34,microtubule affinity regulating kinase 4,Kinase,73,0.641,0.615,0.99777,0.17,,1,14,30,2011,2019
Alzheimer's Disease,C0002395,MS4A6A,64231,Q9H2W1,membrane spanning 4-domains A6A,Receptor,10,0.821,0.231,0.00000000000083775,0.17,,1,10,8,2011,2019
Alzheimer's Disease,C0002395,CELF1,10658,Q92879,CUGBP Elav-like family member 1,,63,0.631,0.577,0.99971,0.16,,1,7,1,2013,2018
Alzheimer's Disease,C0002395,VCP,7415,P55072,valosin containing protein,,376,0.469,0.923,0.99999,0.16,,1,6,3,1999,2019
Alzheimer's Disease,C0002395,SYNJ1,8867,O43426,synaptojanin 1,Enzyme,128,0.576,0.577,0.42709,0.16,,1,7,1,2012,2018
Alzheimer's Disease,C0002395,ZCWPW1,55063,Q9H0M4,zinc finger CW-type and PWWP domain containing 1,,6,0.89,0.115,0.00000000000011227,0.15,,1,7,1,2013,2019
Alzheimer's Disease,C0002395,F13A1,2162,P00488,coagulation factor XIII A chain,Enzyme,117,0.575,0.731,0.000000052851,0.14,,1,6,2,1998,2019
Alzheimer's Disease,C0002395,APOC2,344,P02655,apolipoprotein C2,,68,0.606,0.577,0.40164,0.14,,0.8,5,1,1987,2018
Alzheimer's Disease,C0002395,MS4A4E,643680,Q96PG1,membrane spanning 4-domains A4E,,5,0.931,0.077,0.0010614,0.14,,1,5,11,2011,2017
Alzheimer's Disease,C0002395,APH1B,83464,Q8WW43,"aph-1 homolog B, gamma-secretase subunit",Enzyme modulator,9,0.821,0.231,0.000000000028377,0.14,,0.8,5,2,2008,2019
Alzheimer's Disease,C0002395,EXOC3L2,90332,Q2M3D2,exocyst complex component 3 like 2,Transporter,33,0.722,0.5,0.76039,0.14,,1,8,7,2011,2019
Alzheimer's Disease,C0002395,AKAP9,10142,Q99996,A-kinase anchoring protein 9,,60,0.638,0.385,0.000000000000000045249,0.13,,1,4,3,2014,2018
Alzheimer's Disease,C0002395,PILRA,29992,Q9UKJ1,paired immunoglobin like type 2 receptor alpha,,13,0.769,0.308,0.00000000001726,0.13,,1,5,1,2018,2019
